s.no,product url,product name,product price,rating,number of reviews,description,asin,manufacturer
16,https://www.amazon.in/Amazon-Basics-Laptop-Backpack-Repellent/dp/B09W3XLDM2/ref=sxin_15_trfobq2av2_1_B09W3XLDM2?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W3XLDM2&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=bags%2Caps%2C433&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹420, 4.2 ,63,"MULTIPLE USAGE: Drawstring plastic bag is designed in a way to be useful for many functions. Use it as drawstring shoe bag, clear gift bags for favors, traveling. Pack everything in clear plastic bags (packing toys, stationery, shoes, clothes, cosmetics) and keep it safely and comfortably!,PLASTIC TRAVEL BAGS: Travel shoe bags for packing are unprinted and feature impressive durability, so you can use clear drawstring bag as main means of storing for personal and business purposes.,HIGH QUALITY MATERIAL- The PE storage bags are made of high quality Chlorinated Polyethylene (CPE) sheet which is famed for its good features . the translucent feature helps us to easily view what is inside the bag,KEY FEATURES- Package Includes 2 Pcs Travel Plastic Bags , the quality drawstring plastic bags have flat edges with a 16"" height and 11"" width plus an extra 2"" bottom gusset.it has 2 cotton strings to pull and secure the bag and the contents.,CONVENIENT TO USE- Each drawstring bag comes with two flat satin drawstrings on both ends, making the bags open or close conveniently,and you can also be easy to carry your items in them with the strings.",Draw String Bag 30x40 set of 10,Bag
17,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_15_trfobq2av2_2_B09SB5DP5Y?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=bags%2Caps%2C433&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"₹1,999", 4.1 ,"5,656","Care Instructions: Dry Clean Only,Product Features: This Police backpack for men is made up of durable and Premium Quality along with Laptop Compartment. It is Lightweight and comfortable to carry with adjustable padded straps. This Backpack has decent capacity to store essentials with inside zipper pockets to put your private or valuable items. It also has Zipper closure for handy access. It is perfect for business, travelling, meeting, shopping and daily use.<br><br> <br>,Quality Assurance: This bag goes through stringent 3-Step Quality Check Process before it is delivered to you.<br><br> <br>,Pattern Name: Solid; Age Range Description: Adult; Warranty Description: 6 Months Manufacturer Warranty On Manufacturing Defects Only.; Style Name: Casual Backpack; Special Features: Back Padding; Compartment Description: Greater Than 17 Inches; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket<br> <br>,Color Name: Black/Black; Strap Type: Shoulder Strap <br>",Torero Corporation Pvt. Ltd,Unisex-adult
18,https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_15_trfobq2av2_2_B09SB5DP5Y?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=bags%2Caps%2C433&sr=1-3-973fd8bd-28ce-479e-8be4-fbaf1193947a,"EUME Virgo 3 Compartment Office and College Bags, Polyester Casual Daypacks, Laptop Backpacks","₹1,199", 4.2 ,297,"The Eume 31L Virgo Bag has enough space with 3 large compartments, 2 easy-access pockets in Front, and 2 side pockets for a water bottle.,Large Compatment dedicated tech-safe that can store laptops up to 15.6 inch, Second Large Compartment for Books, Cloth & Sunglasses & Essentials etc. and Third compartment 2 Small pocket for Chargers and Earphones or Wallets , 2 Pen Holders & zipper compartment for Mobile Phone, Passport etc.,It's water-resistant, good quality zipper, Light Weight and it has padded adjustable shoulder straps and a trolley support strap for maximum comfort to make your travel journey happier.,Dimensions of Backpack: 12 x 8 x 17.75 inches; Bag Weight: 685 grams; Capacity: 29 liters; Fabric: Polyester,The Eume Virgo Backpack comes with a 1-year warranty against manufacturing defects.",B08R563J3T,"Avon Lifestyle Pvt Ltd, Avon Lifestyle Pvt Ltd"
19,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_15_trfobq2av2_3_B0821PYKVK?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&rdc=1&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=bags%2Caps%2C433&sr=1-4-973fd8bd-28ce-479e-8be4-fbaf1193947a,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","₹1,900", 4.6 ,63,"Care Instructions: Wipe with Damp Cloth,Handcrafted with care and made up of premium quality robust material,Padded anti-theft laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Pocket under flap and 2 mesh pocket inside main compartment with a bottle holder on the side,Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket,GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BR1C59R8,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800"
20,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_15_trfobq2av2_3_B0821PYKVK?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&rdc=1&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=bags%2Caps%2C433&sr=1-4-973fd8bd-28ce-479e-8be4-fbaf1193947a,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"₹1,085", 4.4 ,"5,779","Outer Material: Polyester, Color: Black,Water Resistance: Water resistant,Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2,Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,,Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks",B075MK4TXP,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
22,https://www.amazon.in/Amazon-Brand-Solimo-Cricket-Kit/dp/B08J8HQ3MD/ref=sxin_15_trfobq2av2_4_B08J8HQ3MD?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08J8HQ3MD&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=bags%2Caps%2C433&sr=1-5-973fd8bd-28ce-479e-8be4-fbaf1193947a,Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),₹387.,,"7,480","Premium Durable Material - Travel duffel bag is made of high quality,durable material.,Separate Shoes Compartment - Built-in extra shoes compartment with exterior zippers to keep your shoes and clean sport gears separate.,Multi-Purpose & Any Occasions - Perfect Duffle Bag for hiking, family holiday, vacation, sports, a short trip, gym, work, beach, used as a overnight bag, a short journey bag, a weekender bag, gym bag, sports duffel bag.,Adjustable Shoulder straps - Comfortable and adjustable shoulder strap,Abundance of Storage - Large capacity,meet your requirement for sure and keep your stuff in order. What an amazing design for Sport Bag!",Sfane,Unisex
23,https://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF/ref=sxin_15_trfobq2av2_5_B07HLYW3FF?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07HLYW3FF&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=bags%2Caps%2C433&sr=1-6-973fd8bd-28ce-479e-8be4-fbaf1193947a,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹649, 3.9 ,"16,375","Care Instructions: Hand Wash Only,SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort,COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.,SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm,ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.,OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",B085MHDJ93,"Amazing Bags, Half_Moon, New Delhi"
25,https://www.amazon.in/Resistant-Photography-Accessories-Compatible-Panasonic/dp/B0BRJLWQ6R/ref=sxin_15_trfobq2av2_6_B0BRJLWQ6R?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BRJLWQ6R&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=bags%2Caps%2C433&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",₹689, 3.8 ,"2,211","Care Instructions: Hand Wash Only,Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.,Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.,Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included ),Care Instructions: Wipe with Dry Cloth,Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.",LEGEND-1,50 x 130 x 170 Millimeters
26,https://www.amazon.in/Resistant-Photography-Accessories-Compatible-Panasonic/dp/B0BRJLWQ6R/ref=sxin_15_trfobq2av2_6_B0BRJLWQ6R?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BRJLWQ6R&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=bags%2Caps%2C433&sr=1-7-973fd8bd-28ce-479e-8be4-fbaf1193947a,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,₹749, 4.1 ,"1,457","Care Instructions: Hand Wash Only,Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessories,CAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problem,FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult,COMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.,12 Months Limited Brand Warranty",B098QFF5TJ,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507"
27,https://www.amazon.in/Amazon-Brand-Solimo-Badminton-Rapid/dp/B08J8HJN8P/ref=sxin_15_trfobq2av2_7_B08J8HJN8P?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08J8HJN8P&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=bags%2Caps%2C433&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹899.,,"6,176","MATERIAL - We use Highest Quality of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.,Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.,Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment,Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.,Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects",Fur Jaden,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
28,https://www.amazon.in/Amazon-Brand-Solimo-Badminton-Rapid/dp/B08J8HJN8P/ref=sxin_15_trfobq2av2_7_B08J8HJN8P?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=3RXHWM4CTEH4C&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08J8HJN8P&pd_rd_r=d1e78607-a9d7-48f1-9cdc-300099ff3ab4&pd_rd_w=PSPUa&pd_rd_wg=laLN2&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=TP287JNCFGD4BWTE6X5Q&qid=1688658813&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=bags%2Caps%2C433&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,299", 4.3 ,416,"Care Instructions: Hand Wash Only,Well Organized compartment ,Security Back Pocket",B0BTD4S4XF,"EXPERTS, China"
29,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_6?crid=3RXHWM4CTEH4C&keywords=bags&qid=1688658813&sprefix=bags%2Caps%2C433&sr=8-6,"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",₹420, 4.2 ,63,"MULTIPLE USAGE: Drawstring plastic bag is designed in a way to be useful for many functions. Use it as drawstring shoe bag, clear gift bags for favors, traveling. Pack everything in clear plastic bags (packing toys, stationery, shoes, clothes, cosmetics) and keep it safely and comfortably!,PLASTIC TRAVEL BAGS: Travel shoe bags for packing are unprinted and feature impressive durability, so you can use clear drawstring bag as main means of storing for personal and business purposes.,HIGH QUALITY MATERIAL- The PE storage bags are made of high quality Chlorinated Polyethylene (CPE) sheet which is famed for its good features . the translucent feature helps us to easily view what is inside the bag,KEY FEATURES- Package Includes 2 Pcs Travel Plastic Bags , the quality drawstring plastic bags have flat edges with a 16"" height and 11"" width plus an extra 2"" bottom gusset.it has 2 cotton strings to pull and secure the bag and the contents.,CONVENIENT TO USE- Each drawstring bag comes with two flat satin drawstrings on both ends, making the bags open or close conveniently,and you can also be easy to carry your items in them with the strings.",Draw String Bag 30x40 set of 10,Bag
30,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_6?crid=3RXHWM4CTEH4C&keywords=bags&qid=1688658813&sprefix=bags%2Caps%2C433&sr=8-6,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,300", 4.2 ,42,"Care Instructions: Wipe with Damp Cloth,Handcrafted with care and made up of premium quality robust material,Padded anti-theft laptop compartment fits up to 15.6"" Laptop and a tablet compartment; Zipper Pocket in front along with a slip In Pocket in front; Internal Organisers with a bottle holder on the side,Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Comfortable Padded shoulder straps,GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BSH4H4DB,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800"
31,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_7?crid=3RXHWM4CTEH4C&keywords=bags&qid=1688658813&sprefix=bags%2Caps%2C433&sr=8-7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",₹679, 4.0 ,"4,640","Care Instructions: Wipe with Damp Cloth,Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>,USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>,Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>,Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>,Closure Type: Zipper; Lining Description: Polyester; Age Range Description: Adult<br>",B09VTCNN75,"FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
33,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_8?crid=3RXHWM4CTEH4C&keywords=bags&qid=1688658813&sprefix=bags%2Caps%2C433&sr=8-8,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,800", 4.3 ,58,"Care Instructions: Wipe with Damp Cloth,Handcrafted with care and made up of premium quality robust material,Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side,Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket,GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BWNBQXDZ,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800"
34,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_8?crid=3RXHWM4CTEH4C&keywords=bags&qid=1688658813&sprefix=bags%2Caps%2C433&sr=8-8,Amazon Brand - Solimo 8L Polyester Canvas Backpack,₹499, 4.4 ,108,"Zippered inside pockets which can be used to keep sunglasses, keys and essentials,Adjustable shoulder straps with buckles,Light weight cotton webbing provides comfort,Durable and sturdy nylon coil zippers,Vinyl puller loops on zippers provides smooth operation,Polyester lining on backpack ensures it can be spot cleaned easily,Capacity: 8 litres,Material: Dhurry; Style: Zipper",B0B46TCF5N,"SAAV INC, SAAV INC, PLOT NUMBER 111, PHASE 1 HSIIDC KUNDLI 131028, PH: 8595923307, sales2@saavinc.com"
35,https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_9?crid=3RXHWM4CTEH4C&keywords=bags&qid=1688658813&sprefix=bags%2Caps%2C433&sr=8-9,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),₹599.,,223,"Material: Water Resistant Strong Polyester,Compartments: 2 with padding,Laptop Size: 15.6 inch and below,Dimensions: LxWxH - 11 x 6 x 18 inches,Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover",B0BPVLXD53,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
